,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,productive
0,2015-01-01,Quarter1,sewing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,1
1,2015-01-01,Quarter1,finishing,Thursday,1,0.75,3.94,997.7422680412371,960,0,0.0,0,0,8.0,0.8865,1
2,2015-01-01,Quarter1,sewing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1
3,2015-01-01,Quarter1,sewing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1
4,2015-01-01,Quarter1,sewing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,1
5,2015-01-01,Quarter1,sewing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,1
6,2015-01-01,Quarter1,finishing,Thursday,2,0.75,3.94,997.7422680412371,960,0,0.0,0,0,8.0,0.755166667,1
7,2015-01-01,Quarter1,sewing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,1
8,2015-01-01,Quarter1,sewing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,1
9,2015-01-01,Quarter1,sewing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,1
10,2015-01-01,Quarter1,sewing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,1
11,2015-01-01,Quarter1,sewing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,0
12,2015-01-01,Quarter1,sewing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,0
13,2015-01-01,Quarter1,finishing,Thursday,10,0.65,3.94,997.7422680412371,960,0,0.0,0,0,8.0,0.705916667,1
14,2015-01-01,Quarter1,finishing,Thursday,8,0.75,2.9,997.7422680412371,960,0,0.0,0,0,8.0,0.676666667,0
15,2015-01-01,Quarter1,finishing,Thursday,4,0.75,3.94,997.7422680412371,2160,0,0.0,0,0,18.0,0.593055556,0
16,2015-01-01,Quarter1,finishing,Thursday,7,0.8,2.9,997.7422680412371,960,0,0.0,0,0,8.0,0.540729167,0
17,2015-01-01,Quarter1,sewing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,0
18,2015-01-01,Quarter1,finishing,Thursday,11,0.7,4.15,997.7422680412371,1440,0,0.0,0,0,12.0,0.436326389,0
19,2015-01-03,Quarter1,finishing,Saturday,4,0.8,4.15,997.7422680412371,6600,0,0.0,0,0,20.0,0.988024691,1
20,2015-01-03,Quarter1,finishing,Saturday,11,0.75,2.9,997.7422680412371,5640,0,0.0,0,0,17.0,0.987880435,1
21,2015-01-03,Quarter1,finishing,Saturday,9,0.8,4.15,997.7422680412371,960,0,0.0,0,0,8.0,0.956270833,1
22,2015-01-03,Quarter1,finishing,Saturday,3,0.75,3.94,997.7422680412371,1560,0,0.0,0,0,8.0,0.945277778,1
23,2015-01-03,Quarter1,finishing,Saturday,1,0.8,3.94,997.7422680412371,960,0,0.0,0,0,8.0,0.902916667,1
24,2015-01-03,Quarter1,sewing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,1
25,2015-01-03,Quarter1,sewing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,1
26,2015-01-03,Quarter1,sewing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644,1
27,2015-01-03,Quarter1,sewing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,1
28,2015-01-03,Quarter1,sewing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,1
29,2015-01-03,Quarter1,sewing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,1
30,2015-01-03,Quarter1,sewing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,1
31,2015-01-03,Quarter1,sewing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,1
32,2015-01-03,Quarter1,sewing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,1
